"province","agegrp5","sex","no_reinf","reinf","total"
"NORTHERN CAPE","(25,30]","U",89,0,89
"NORTHERN CAPE","(30,35]","F",4501,67,4568
"NORTHERN CAPE","(30,35]","M",3119,49,3168
"NORTHERN CAPE","(30,35]","U",91,0,91
"NORTHERN CAPE","(35,40]","F",4609,72,4681
"NORTHERN CAPE","(35,40]","M",3578,49,3627
"NORTHERN CAPE","(35,40]","U",101,0,101
"NORTHERN CAPE","(40,45]","F",3867,56,3923
"NORTHERN CAPE","(40,45]","M",3139,49,3188
"NORTHERN CAPE","(40,45]","U",59,0,59
"NORTHERN CAPE","(45,50]","F",3752,47,3799
"NORTHERN CAPE","(45,50]","M",2858,33,2891
"NORTHERN CAPE","(45,50]","U",62,0,62
"NORTHERN CAPE","(5,10]","F",1510,15,1525
"NORTHERN CAPE","(5,10]","M",1555,5,1560
"NORTHERN CAPE","(5,10]","U",116,0,116
"NORTHERN CAPE","(50,55]","F",3597,39,3636
"NORTHERN CAPE","(50,55]","M",2756,41,2797
"NORTHERN CAPE","(50,55]","U",55,0,55
"NORTHERN CAPE","(55,60]","F",2838,28,2866
"NORTHERN CAPE","(55,60]","M",2104,21,2125
"NORTHERN CAPE","(55,60]","U",56,0,56
"NORTHERN CAPE","(60,65]","F",2053,20,2073
"NORTHERN CAPE","(60,65]","M",1467,14,1481
"NORTHERN CAPE","(60,65]","U",34,0,34
"NORTHERN CAPE","(65,70]","F",1458,9,1467
"NORTHERN CAPE","(65,70]","M",1051,14,1065
"NORTHERN CAPE","(65,70]","U",31,0,31
"NORTHERN CAPE","(70,75]","F",1063,7,1070
"NORTHERN CAPE","(70,75]","M",720,8,728
"NORTHERN CAPE","(70,75]","U",18,0,18
"NORTHERN CAPE","(75,80]","F",701,5,706
"NORTHERN CAPE","(75,80]","M",450,4,454
"NORTHERN CAPE","(75,80]","U",10,0,10
"NORTHERN CAPE","(80,Inf]","F",844,11,855
"NORTHERN CAPE","(80,Inf]","M",432,1,433
"NORTHERN CAPE","(80,Inf]","U",15,0,15
"UNKNOWN","(25,30]","F",1,0,1
"UNKNOWN","(40,45]","M",1,0,1
"WESTERN CAPE","UNKNOWN","F",1044,3,1047
"WESTERN CAPE","UNKNOWN","M",1186,8,1194
"WESTERN CAPE","UNKNOWN","U",289,0,289
"WESTERN CAPE","(0,5]","F",1868,16,1884
"WESTERN CAPE","(0,5]","M",2141,22,2163
"WESTERN CAPE","(0,5]","U",21,0,21
"WESTERN CAPE","(10,15]","F",6204,63,6267
"WESTERN CAPE","(10,15]","M",5469,43,5512
"WESTERN CAPE","(10,15]","U",111,0,111
"WESTERN CAPE","(15,20]","F",11864,183,12047
"WESTERN CAPE","(15,20]","M",9564,146,9710
"WESTERN CAPE","(15,20]","U",136,0,136
"WESTERN CAPE","(20,25]","F",20826,449,21275
"WESTERN CAPE","(20,25]","M",15659,273,15932
"WESTERN CAPE","(20,25]","U",238,0,238
"WESTERN CAPE","(25,30]","F",28176,676,28852
"WESTERN CAPE","(25,30]","M",20513,441,20954
"WESTERN CAPE","(25,30]","U",297,2,299
"WESTERN CAPE","(30,35]","F",29823,729,30552
"WESTERN CAPE","(30,35]","M",22678,412,23090
"WESTERN CAPE","(30,35]","U",293,0,293
"WESTERN CAPE","(35,40]","F",29146,666,29812
"WESTERN CAPE","(35,40]","M",22702,442,23144
"WESTERN CAPE","(35,40]","U",247,0,247
"WESTERN CAPE","(40,45]","F",24930,515,25445
"WESTERN CAPE","(40,45]","M",20620,342,20962
"WESTERN CAPE","(40,45]","U",243,0,243
"WESTERN CAPE","(45,50]","F",25715,435,26150
"WESTERN CAPE","(45,50]","M",21770,349,22119
"WESTERN CAPE","(45,50]","U",207,1,208
"WESTERN CAPE","(5,10]","F",2711,13,2724
"WESTERN CAPE","(5,10]","M",2808,19,2827
"WESTERN CAPE","(5,10]","U",39,0,39
"WESTERN CAPE","(50,55]","F",23595,384,23979
"WESTERN CAPE","(50,55]","M",19524,280,19804
"WESTERN CAPE","(50,55]","U",176,0,176
"WESTERN CAPE","(55,60]","F",19360,267,19627
"WESTERN CAPE","(55,60]","M",16243,205,16448
"WESTERN CAPE","(55,60]","U",172,1,173
"WESTERN CAPE","(60,65]","F",13223,153,13376
"WESTERN CAPE","(60,65]","M",11125,132,11257
"WESTERN CAPE","(60,65]","U",90,1,91
"WESTERN CAPE","(65,70]","F",9448,108,9556
"WESTERN CAPE","(65,70]","M",7911,92,8003
"WESTERN CAPE","(65,70]","U",59,0,59
"WESTERN CAPE","(70,75]","F",6659,63,6722
"WESTERN CAPE","(70,75]","M",5367,50,5417
"WESTERN CAPE","(70,75]","U",34,0,34
"WESTERN CAPE","(75,80]","F",4580,50,4630
"WESTERN CAPE","(75,80]","M",3356,40,3396
"WESTERN CAPE","(75,80]","U",21,0,21
"WESTERN CAPE","(80,Inf]","F",6071,70,6141
"WESTERN CAPE","(80,Inf]","M",3225,41,3266
"WESTERN CAPE","(80,Inf]","U",24,0,24
